content_id,title,type,tags,description,mood_tags,difficulty,duration,link
1,5-Minute Box Breathing Exercise,exercise,"stress,anxiety,breathing,calm,quick","Box breathing: inhale 4 counts, hold 4, exhale 4, hold 4. Repeat 5 cycles. Used by Navy SEALs and elite athletes to rapidly calm the nervous system. Activates the parasympathetic response within 90 seconds.","stress,anxiety,overwhelmed,panic,anger",beginner,5 mins,https://www.youtube.com/watch?v=tEmt1Znux58
2,Progressive Muscle Relaxation (Full Body),exercise,"stress,tension,body,relaxation,sleep","Systematically tense and release each muscle group from toes to forehead. Reduces chronic physical tension stored from stress. Research shows 30-40% reduction in cortisol after a single session.","stress,tension,anger,insomnia,anxiety",beginner,20 mins,https://www.youtube.com/watch?v=1nZEdqcGVzo
3,The 5-4-3-2-1 Grounding Technique,exercise,"anxiety,grounding,mindfulness,panic,senses","Name 5 things you see, 4 you can touch, 3 you hear, 2 you smell, 1 you taste. Pulls your mind from spiralling thoughts back to the present moment. Works within 2-3 minutes for most people.","anxiety,panic,dissociation,overwhelmed,stress",beginner,5 mins,https://www.therapistaid.com/therapy-worksheet/5-4-3-2-1-grounding
4,10-Minute Guided Meditation for Anxiety,exercise,"anxiety,meditation,mindfulness,calm,guided","A gentle guided session combining breath awareness and body scan. No experience required. Research shows even single sessions reduce cortisol and self-reported anxiety significantly.","anxiety,stress,overwhelmed,restless,insomnia",beginner,10 mins,https://www.youtube.com/watch?v=O-6f5wQXSu8
5,Journaling for Difficult Emotions (15 Prompts),exercise,"journaling,emotions,self-awareness,processing,writing","15 CBT-informed prompts to write through sadness, anger, or confusion. Externalising emotions on paper creates psychological distance and measurably reduces their intensity.","sadness,confusion,anger,grief,low_self_esteem",beginner,20 mins,https://positivepsychology.com/journaling-for-mental-health/
6,Yoga for Stress Relief — Beginner Flow,exercise,"yoga,stress,body,movement,calm,flexibility","A 20-minute gentle flow focusing on hip openers and forward folds — poses that directly activate the parasympathetic nervous system. No prior yoga experience required.","stress,tension,sadness,low_energy,anxiety",beginner,20 mins,https://www.youtube.com/watch?v=v7AYKMP6rOE
7,Cold Water Face Splash Reset,exercise,"stress,anxiety,quick,reset,nervous-system","Splash cold water on your face or hold ice cubes for 30 seconds. Activates the dive reflex, slowing heart rate almost immediately. One of the fastest physiological interventions known.","stress,anxiety,anger,panic,overwhelmed",beginner,2 mins,https://www.healthline.com/health/what-is-the-dive-reflex
8,Body Scan Meditation (15 Minutes),exercise,"mindfulness,body,awareness,relaxation,grounding","A guided body scan teaching you to notice physical sensations without judgment. Restores the mind-body connection often severed by chronic stress and anxiety.","stress,dissociation,anxiety,low_energy,insomnia",intermediate,15 mins,https://www.youtube.com/watch?v=QS2yDmWk0vs
9,Loving-Kindness (Metta) Meditation,exercise,"compassion,self-esteem,relationships,meditation,warmth","Generate warmth for yourself and others through this ancient Buddhist practice. Clinical trials show measurable increases in positive affect and decreases in self-criticism after 8 weeks.","low_self_esteem,loneliness,anger,sadness,anxiety",beginner,12 mins,https://www.youtube.com/watch?v=sz7cpV7ERsM
10,TIPP Skills — Dialectical Behaviour Therapy,exercise,"crisis,emotions,DBT,coping,regulation","DBT's TIPP: Temperature change (cold water), Intense exercise, Paced breathing, Paired muscle relaxation. Fast-acting for when emotions feel out of control. Clinically validated.","overwhelmed,panic,anger,crisis,stress",intermediate,10 mins,https://dialecticalbehaviortherapy.com/distress-tolerance/tipp/
11,Mindful Walking Meditation,exercise,"mindfulness,movement,nature,anxiety,grounding","Transform a walk into meditation by focusing on each step, breath, and sensory input. Research: 20 minutes in nature drops cortisol by 21%. No equipment needed.","anxiety,stress,low_energy,sadness,low_motivation",beginner,20 mins,https://www.mindful.org/daily-mindfulness-walking/
12,4-7-8 Breathing for Panic Attacks,exercise,"panic,breathing,emergency,anxiety,fast","The 4-7-8 technique: inhale 4, hold 7, exhale 8. Activates the vagus nerve and forces a state of calm. Dr Andrew Weil calls it a natural tranquiliser for the nervous system.","panic,anxiety,overwhelmed,crisis,stress",beginner,5 mins,https://www.healthline.com/health/4-7-8-breathing
13,STOP Mindfulness Technique,exercise,"mindfulness,quick,awareness,pause,CBT","Stop, Take a breath, Observe your thoughts and feelings, Proceed mindfully. A 60-second pause technique from MBSR that interrupts automatic reactive patterns.","stress,anxiety,anger,overwhelmed",beginner,1 min,https://www.mindfulnessexercises.com/stop-technique/
14,Self-Compassion Break (Kristin Neff),exercise,"self-compassion,self-esteem,kindness,mindfulness","Three-step practice: acknowledge suffering, remind yourself suffering is universal, offer yourself kindness. From Dr Kristin Neff's self-compassion research programme.","low_self_esteem,sadness,loneliness,anger",beginner,5 mins,https://self-compassion.org/exercise-2-self-compassion-break/
15,Emotional Freedom Technique (Tapping),exercise,"EFT,tapping,anxiety,trauma,energy","Tapping on acupressure meridian points while verbalising distress. Multiple RCTs show significant reductions in anxiety and PTSD symptoms. Unusual but well-evidenced.","anxiety,stress,trauma,panic,low_self_esteem",intermediate,10 mins,https://www.youtube.com/watch?v=pAclBdj20ZU
16,Cold Shower Exposure Protocol,exercise,"resilience,energy,mood,dopamine,cold","2-minute cold shower at the end of your regular shower. Research by Dr Andrew Huberman shows 2.5× increase in dopamine lasting 3+ hours. Builds stress resilience over time.","low_motivation,sadness,low_energy,stress,insomnia",intermediate,15 mins,https://www.youtube.com/watch?v=pq6WHJzOkno
17,Gratitude Three Good Things,exercise,"gratitude,happiness,positive,daily,wellbeing","Write three specific good things that happened today and why they happened. Martin Seligman's research shows this single intervention reduces depression and increases wellbeing significantly.","sadness,low_motivation,hopelessness,loneliness",beginner,5 mins,https://positivepsychology.com/three-good-things-gratitude/
18,Behavioural Activation for Depression,exercise,"depression,activation,activity,CBT,motivation","Schedule one meaningful or pleasurable activity per day regardless of mood. CBT's most validated technique for breaking the depression-inactivity cycle.","sadness,low_motivation,depression,hopelessness",intermediate,ongoing,https://www.psychologytools.com/self-help/depression/behavioural-activation/
19,Physiological Sigh (Stanford Protocol),exercise,"stress,breathing,quick,nervous-system,reset","Double inhale through the nose (sniff twice) followed by a long slow exhale. Instantly deflates air sacs in the lungs and resets CO2 levels. Fastest known stress relief technique.","stress,anxiety,panic,anger,overwhelmed",beginner,1 min,https://www.youtube.com/watch?v=kSZKIupBUuc
20,Sleep Restriction Therapy (CBT-I),exercise,"sleep,insomnia,CBT,restriction,efficiency","The most evidence-based non-drug insomnia treatment: temporarily restrict sleep to consolidate it, then gradually extend. More effective than sleeping pills long term.","insomnia,anxiety,stress",advanced,4-6 weeks,https://www.sleepfoundation.org/insomnia/treatment/cognitive-behavioral-therapy-insomnia
21,Understanding Anxiety: The Science,article,"anxiety,education,science,nervous-system,biology","Explains fight-or-flight in plain language — why heart races, hands sweat, mind spirals. Understanding the biology reduces the fear of anxiety itself. Includes the role of the amygdala and HPA axis.","anxiety,panic,confusion,stress",beginner,8 mins,https://www.helpguide.org/articles/anxiety/anxiety-disorders-and-anxiety-attacks.htm
22,How to Stop Ruminating: CBT Guide,article,"rumination,depression,anxiety,cognitive,CBT","Breaks the cycle of repetitive negative thinking using cognitive restructuring. Covers thought records, attention training, worry postponement, and scheduled worry time.","depression,anxiety,stress,overthinking,low_self_esteem",intermediate,10 mins,https://www.verywellmind.com/tips-to-stop-ruminating-3145182
23,The Complete Science of Stress,article,"stress,science,cortisol,HPA-axis,resilience","How cortisol rewires the brain over time, the difference between acute and chronic stress, and evidence-based strategies to build resilience including sleep, exercise, and social connection.","stress,burnout,exhaustion,anxiety",intermediate,12 mins,https://www.helpguide.org/articles/stress/stress-management.htm
24,Depression vs Sadness: Knowing the Difference,article,"depression,sadness,mental-health,awareness,diagnosis","Compassionate guide to clinical depression vs normal sadness. Includes DSM-5 criteria explained accessibly, when to seek help, and what treatment looks like.","sadness,depression,hopelessness,grief",beginner,7 mins,https://www.mind.org.uk/information-support/types-of-mental-health-problems/depression/
25,Setting Healthy Boundaries Without Guilt,article,"boundaries,relationships,self-care,communication,assertiveness","Why boundaries are acts of love, not selfishness. Includes practical scripts for 8 common difficult boundary conversations. Based on attachment and communication research.","stress,anger,overwhelmed,relationships,low_self_esteem",intermediate,9 mins,https://www.psychologytoday.com/us/blog/friendship-20/201606/10-way-build-and-preserve-better-boundaries
26,Sleep Hygiene: Complete Evidence-Based Guide,article,"sleep,insomnia,anxiety,routine,circadian","Everything that actually works for sleep: light exposure, temperature optimisation, consistent timing, caffeine half-life, and which supplements have evidence. No fluff.","insomnia,anxiety,exhaustion,stress",beginner,11 mins,https://www.sleepfoundation.org/sleep-hygiene
27,Cognitive Distortions: 14 Thinking Traps,article,"CBT,cognitive,thinking,anxiety,depression,distortions","All 14 cognitive distortions (all-or-nothing, catastrophising, mind reading, etc.) with relatable examples and reframing exercises. Foundation of CBT self-help.","anxiety,depression,overthinking,low_self_esteem,anger",intermediate,13 mins,https://positivepsychology.com/cognitive-distortions/
28,The Neuroscience of Gratitude,article,"gratitude,happiness,neuroscience,wellbeing,brain","How gratitude practice physically changes the medial prefrontal cortex and increases dopamine. Includes a simple 3-minute daily practice backed by neuroimaging research.","sadness,low_motivation,hopelessness,low_self_esteem",beginner,6 mins,https://positivepsychology.com/neuroscience-of-gratitude/
29,Loneliness: The Modern Epidemic,article,"loneliness,connection,relationships,social,epidemic","The loneliness epidemic is as damaging as smoking 15 cigarettes a day per meta-analysis. Evidence-based strategies to build genuine connection and overcome social isolation.","loneliness,sadness,isolation,low_self_esteem",intermediate,10 mins,https://www.apa.org/monitor/2019/05/ce-corner-isolation
30,Anger Management: Evidence-Based Guide,article,"anger,emotions,relationships,regulation,physiology","The physiology of rage, healthy vs problematic anger, and the most effective regulation strategies including the pause technique, STOPP method, and anger journaling.","anger,frustration,relationships,stress",intermediate,9 mins,https://www.mind.org.uk/information-support/types-of-mental-health-problems/anger/
31,Burnout: Signs Causes and Recovery,article,"burnout,work,stress,recovery,phases","The three dimensions of burnout (exhaustion, cynicism, inefficacy), how to diagnose which phase you're in, and a staged 12-week recovery protocol from HBR research.","burnout,exhaustion,stress,low_motivation,sadness",intermediate,14 mins,https://hbr.org/2016/11/beating-burnout
32,Acceptance and Commitment Therapy (ACT),article,"ACT,therapy,values,mindfulness,flexibility","How to stop fighting difficult emotions using psychological flexibility. Includes the key ACT processes: defusion, acceptance, values clarification, and committed action.","depression,anxiety,avoidance,low_motivation,low_self_esteem",intermediate,11 mins,https://positivepsychology.com/act-therapy/
33,Digital Detox: A 7-Day Protocol,article,"technology,anxiety,social-media,screen-time,comparison","Why constant connectivity worsens anxiety and erodes self-esteem. A structured week-by-week plan to reduce screen time and set healthy digital boundaries.","anxiety,overwhelmed,low_self_esteem,comparison,stress",beginner,8 mins,https://www.healthline.com/health/digital-detox
34,Attachment Theory: How It Affects You,article,"attachment,relationships,psychology,patterns,childhood","How your early attachment style (secure, anxious, avoidant, disorganised) shapes adult relationships. Includes assessment questions and pathways to earned security.","loneliness,anxiety,relationships,low_self_esteem,anger",intermediate,15 mins,https://www.attachmentproject.com/attachment-theory/
35,The Polyvagal Theory Explained Simply,article,"nervous-system,trauma,safety,vagus-nerve,regulation","Porges's theory of three nervous system states (ventral vagal/safe, sympathetic/fight-flight, dorsal vagal/shutdown) and how to move between them. Revolutionary for trauma.","anxiety,trauma,dissociation,overwhelmed,stress",intermediate,12 mins,https://www.betterhelp.com/advice/therapy/what-is-polyvagal-theory/
36,Intrusive Thoughts: What They Mean,article,"OCD,intrusive-thoughts,anxiety,CBT,reassurance","The science of intrusive thoughts — everyone has them, they don't make you a bad person. Why trying to suppress them backfires and what actually works instead.","anxiety,OCD,low_self_esteem,panic,confusion",intermediate,9 mins,https://www.verywellmind.com/understanding-intrusive-thoughts-5120893
37,Grief: The Non-Linear Journey,article,"grief,loss,bereavement,stages,healing","Why the Kübler-Ross stages are misunderstood, what grief actually looks like (non-linear, wave-like), and how to support yourself through loss without forcing a timeline.","sadness,grief,loss,loneliness",beginner,10 mins,https://www.helpguide.org/articles/grief/coping-with-grief-and-loss.htm
38,Social Anxiety: From Avoidance to Connection,article,"social-anxiety,shyness,avoidance,ERP,CBT","The difference between shyness and social anxiety disorder, why avoidance makes it worse, and how exposure-based therapy systematically reduces social fear.","anxiety,loneliness,low_self_esteem,avoidance",intermediate,11 mins,https://www.verywellmind.com/social-anxiety-disorder-4157459
39,The Science of Procrastination,article,"procrastination,motivation,neuroscience,ADHD,executive-function","Why procrastination is an emotional regulation problem, not a time management problem. Research-backed interventions including implementation intentions and temptation bundling.","low_motivation,anxiety,stress,overwhelmed",intermediate,10 mins,https://www.psychologytoday.com/us/blog/your-brain-work/201110/why-wait-the-science-behind-procrastination
40,Building Emotional Resilience,article,"resilience,coping,growth,adversity,wellbeing","The seven pillars of resilience (connection, wellness, healthy thinking, meaning, coping, identity) and concrete practices to build each one. Based on APA resilience framework.","stress,sadness,overwhelmed,low_motivation,anxiety",intermediate,13 mins,https://www.apa.org/topics/resilience
41,Headspace: Guided Meditations,video,"meditation,sleep,guided,mindfulness,app,stress","Hundreds of meditations from 3–20 minutes on stress, anxiety, sleep, and focus. The beginner Take10 series is free and rated as the best meditation app in multiple studies.","anxiety,stress,insomnia,overwhelmed,low_motivation",beginner,varies,https://www.youtube.com/@Headspace
42,Andrew Huberman: Stress Control Tools,video,"stress,neuroscience,breathing,science,Stanford","Stanford neuroscientist explains the physiological sigh — the single fastest known stress-relief technique. Plus tools for long-term stress inoculation and the neuroscience behind them.","stress,anxiety,panic,overwhelmed",beginner,24 mins,https://www.youtube.com/watch?v=ntfcfJ28eiU
43,Therapy in a Nutshell: CBT for Anxiety,video,"CBT,anxiety,therapy,education,practical","Mental health counsellor Emma McAdam explains CBT techniques for anxiety in a clear, warm, non-clinical style. One of the best free mental health channels on YouTube.","anxiety,overthinking,depression,low_self_esteem",beginner,varies,https://www.youtube.com/c/TherapyinaNutshell
44,DARE Response for Panic and Anxiety,video,"anxiety,panic,phobia,recovery,counterintuitive","Barry McDonagh's DARE response: Defuse, Allow, Run towards, Engage. A counterintuitive approach that ends the anxiety loop by removing the resistance that sustains it.","anxiety,panic,phobia,avoidance,overwhelmed",intermediate,20 mins,https://www.youtube.com/watch?v=6pSBwqW0vSA
45,The Happiness Lab with Dr Laurie Santos,video,"happiness,wellbeing,psychology,science,Yale","Yale professor dismantles myths about happiness using cutting-edge psychology. Warm, funny, evidence-based. Covers connection, gratitude, social comparison, and the science of a good life.","sadness,low_motivation,hopelessness,low_self_esteem,loneliness",beginner,varies,https://www.pushkin.fm/podcasts/the-happiness-lab-with-dr-laurie-santos
46,Wim Hof Breathing Technique,video,"breathing,energy,stress,cold,resilience,dopamine","Controlled hyperventilation shown to reduce inflammation, elevate mood, and build mental toughness. 11-minute guided session with measurable physiological effects.","low_motivation,sadness,stress,low_energy,depression",intermediate,11 mins,https://www.youtube.com/watch?v=tybOi4hjZFQ
47,Yoga with Adriene: Yoga for Anxiety,video,"yoga,anxiety,gentle,movement,parasympathetic","Adriene's most-watched anxiety practice: slow, grounding, deeply calming. 28 million views. Focuses on poses proven to activate the vagal brake.","anxiety,stress,overwhelmed,panic,insomnia",beginner,31 mins,https://www.youtube.com/watch?v=hJbRpHZr_d0
48,Matt D'Avella: Recovering from Burnout,video,"burnout,productivity,rest,lifestyle,minimalism","Thoughtful exploration of burnout and what actually helped: doing less, not more, and redefining productivity. Beautifully shot and genuinely moving.","burnout,exhaustion,stress,low_motivation,sadness",beginner,14 mins,https://www.youtube.com/watch?v=SBSyFMSe9hA
49,NOCD: Understanding OCD and ERP,video,"OCD,ERP,therapy,education,intrusive-thoughts","Clear explanation of Exposure and Response Prevention — the gold-standard OCD treatment — by therapists who specialise in it. Separates OCD myths from evidence.","OCD,anxiety,intrusive_thoughts,avoidance",intermediate,18 mins,https://www.youtube.com/watch?v=EBi1muSGMFU
50,How to Process Emotions (Patrick Teahan),video,"emotions,processing,CPTSD,trauma,feelings","Trauma-informed therapist explains how to feel emotions fully without being overwhelmed by them. Especially helpful for those who grew up in homes where emotions were suppressed.","sadness,anger,anxiety,trauma,overwhelmed",intermediate,22 mins,https://www.youtube.com/watch?v=GkWkO0I3k3M
51,Brené Brown: The Power of Vulnerability,video,"vulnerability,shame,connection,research,courage","Brené Brown's legendary TED talk — the most viewed TED talk on psychology. Research on shame, vulnerability, and what it takes to live wholeheartedly.","low_self_esteem,loneliness,shame,anxiety,sadness",beginner,20 mins,https://www.youtube.com/watch?v=iCvmsMzlF7o
52,Viktor Frankl: Man's Search for Meaning,video,"meaning,purpose,resilience,philosophy,existential","A documentary on Viktor Frankl's logotherapy — finding meaning even in unavoidable suffering. His work in Auschwitz and the insight that meaning is the primary human motivation.","sadness,hopelessness,low_motivation,existential,depression",intermediate,28 mins,https://www.youtube.com/watch?v=LlC2OdnhIiQ
53,Sleep: The Latest Science (Matthew Walker),video,"sleep,neuroscience,health,insomnia,cognitive","UC Berkeley sleep scientist explains what happens to the brain during sleep deprivation and the devastating effects on mental health, immune function, and emotional regulation.","insomnia,exhaustion,anxiety,stress,depression",beginner,58 mins,https://www.youtube.com/watch?v=5MuIMqhT8oU
54,Meditations for Loneliness (Tara Brach),video,"loneliness,connection,meditation,compassion,belonging","Tara Brach's guided meditation specifically for the pain of loneliness — turning towards the feeling rather than fleeing it, and discovering the belonging that's always present.","loneliness,sadness,isolation,anxiety",intermediate,28 mins,https://www.youtube.com/watch?v=bVS_F8MKwag
55,Dr K on Depression: What Actually Helps,video,"depression,motivation,neuroscience,ayurveda,psychiatry","HealthyGamer psychiatrist Dr Alok Kanojia (Dr K) explains the neuroscience of depression, why willpower doesn't work, and integrative approaches including lifestyle, therapy, and ayurvedic insights.","depression,sadness,low_motivation,hopelessness,insomnia",intermediate,35 mins,https://www.youtube.com/watch?v=ZwMlHkWKDwM
56,Mel Robbins: The 5-Second Rule,video,"motivation,procrastination,action,neuroscience,activation","Count 5-4-3-2-1 and physically move before your brain talks you out of it. Backed by metacognition research and used by millions to overcome morning paralysis and procrastination.","low_motivation,procrastination,anxiety,overwhelmed,insomnia",beginner,21 mins,https://www.youtube.com/watch?v=Lp7E973zozc
57,Nightly Wind-Down Yoga (20 min),exercise,"sleep,yoga,bedtime,relaxation,parasympathetic","A gentle 20-minute pre-sleep sequence with legs up the wall, supine twists, and child's pose. Activates the rest-and-digest system and lowers cortisol for better sleep onset.","insomnia,stress,anxiety,overwhelmed",beginner,20 mins,https://www.youtube.com/watch?v=v7AYKMP6rOE
58,EFT Tapping for Anxiety Relief,exercise,"EFT,tapping,anxiety,trauma,acupressure","Follow-along tapping sequence targeting the 8 main acupressure points while voicing your anxiety. Multiple RCTs show cortisol drops 24% in a single session.","anxiety,stress,panic,trauma,low_self_esteem",beginner,15 mins,https://www.youtube.com/watch?v=pAclBdj20ZU
59,Anger Release: Physical Workout,exercise,"anger,movement,exercise,catharsis,energy","A high-intensity 20-minute workout specifically designed to discharge anger energy: burpees, shadow boxing, and sprint intervals. Exercise metabolises adrenaline and cortisol.","anger,frustration,stress,overwhelmed,tension",beginner,20 mins,https://www.youtube.com/watch?v=ml6cT4AZdqI
60,Shame Resilience Practice (Brené Brown),exercise,"shame,self-compassion,resilience,vulnerability,connection","Identify the shame trigger, reality-check it, reach out to a trusted person, speak shame. Brené Brown's four-step shame resilience practice from her research on shame and vulnerability.","low_self_esteem,shame,loneliness,sadness,anxiety",intermediate,15 mins,https://brenebrown.com/articles/2013/01/14/shame-v-guilt/
61,Dialectical Behaviour Therapy Overview,article,"DBT,therapy,emotion-regulation,borderline,skills","Complete overview of DBT's four skill modules: mindfulness, distress tolerance, emotion regulation, and interpersonal effectiveness. The most comprehensive emotion skills training available.","overwhelmed,anger,crisis,low_self_esteem,relationships",intermediate,20 mins,https://dialecticalbehaviortherapy.com/
62,EMDR Therapy: How It Works,article,"EMDR,trauma,PTSD,therapy,bilateral","How Eye Movement Desensitisation and Reprocessing works — bilateral stimulation while recalling traumatic memories. Recommended by WHO for PTSD. Faster than traditional talk therapy.","trauma,PTSD,anxiety,insomnia,overwhelmed",intermediate,10 mins,https://www.emdr.com/what-is-emdr/
63,The Sleep-Anxiety-Depression Cycle,article,"sleep,anxiety,depression,cycle,bidirectional","Why poor sleep worsens anxiety and depression — and how they in turn worsen sleep. How to identify which came first and break the cycle using targeted interventions.","insomnia,anxiety,depression,stress",intermediate,11 mins,https://www.sleepfoundation.org/mental-health
64,Perfectionism vs High Standards,article,"perfectionism,anxiety,self-esteem,CBT,procrastination","The clinical distinction between healthy high standards and maladaptive perfectionism. How perfectionism drives anxiety and procrastination, and CBT interventions that work.","anxiety,low_self_esteem,low_motivation,stress,overthinking",intermediate,9 mins,https://www.psychologytoday.com/us/blog/the-squeaky-wheel/201307/how-distinguish-adaptive-perfectionism-maladaptive-perfectionism
65,Somatic Experiencing for Trauma,article,"somatic,trauma,body,nervous-system,healing","Peter Levine's body-based approach to trauma — discharging trapped fight-flight energy through physical sensation awareness. How trauma lives in the body and how to release it.","trauma,anxiety,dissociation,stress,overwhelmed",intermediate,12 mins,https://traumahealing.org/about-se/
66,How Exercise Treats Depression,article,"exercise,depression,BDNF,neuroscience,dopamine","Why exercise is as effective as antidepressants for mild-moderate depression. The role of BDNF, serotonin, and neuroplasticity. Specific prescriptions: type, intensity, frequency, duration.","depression,sadness,low_motivation,low_energy,stress",beginner,8 mins,https://www.health.harvard.edu/mind-and-mood/exercise-is-an-all-natural-treatment-to-fight-depression
67,Mindfulness-Based Stress Reduction (MBSR),article,"MBSR,mindfulness,stress,Jon-Kabat-Zinn,programme","Jon Kabat-Zinn's 8-week programme: the most evidence-based mindfulness intervention. What it involves, what the research shows, and how to access it free online.","stress,anxiety,depression,chronic-pain,overwhelmed",intermediate,14 mins,https://www.mindfulnessstudies.com/what-is-mbsr/
68,The Freeze Response: Shutdown Explained,article,"freeze,dorsal-vagal,shutdown,dissociation,polyvagal","The least-discussed trauma response: freezing and shutting down. Why it happens, what it feels like (numbness, fog, paralysis), and how to gently activate from freeze.","dissociation,trauma,depression,low_energy,overwhelmed",intermediate,10 mins,https://www.psychologytoday.com/us/blog/the-therapist-is-in/202001/why-people-freeze-in-the-face-of-danger
69,Compassion Fatigue and Caregiver Burnout,article,"compassion-fatigue,caregiving,burnout,empathy,boundaries","The hidden cost of caring for others. Signs of compassion fatigue, how it differs from burnout, and a recovery plan for caregivers, therapists, and helpers.","burnout,exhaustion,sadness,anger,overwhelmed",intermediate,11 mins,https://www.psychologytoday.com/us/blog/compassion-matters/202103/compassion-fatigue-and-empathy-fatigue
70,Values Clarification Exercise (ACT),article,"values,ACT,meaning,purpose,direction","Identify your core values — the compass that guides committed action in ACT. Includes the 60-value sort exercise and guidance on setting values-aligned goals when depressed.","low_motivation,sadness,depression,hopelessness,existential",beginner,20 mins,https://positivepsychology.com/values-clarification/
71,Crisis Text Line: How It Works,article,"crisis,support,text,immediate,safety","Free 24/7 crisis text support for mental health emergencies. How it works, what to expect, and when to use it. Text HOME to 741741 in the US.","crisis,panic,overwhelmed,sadness,anxiety",beginner,3 mins,https://www.crisistextline.org/
72,Emotional Regulation Skills (DBT),article,"DBT,emotion-regulation,skills,coping,therapy","The DBT emotion regulation module: how to identify emotions, reduce vulnerability to emotional mind, act opposite to urges, and check the facts.","anger,overwhelmed,anxiety,sadness,low_self_esteem",intermediate,15 mins,https://dialecticalbehaviortherapy.com/emotion-regulation/
73,Interpersonal Effectiveness (DEAR MAN),article,"DBT,relationships,assertiveness,communication,DEAR-MAN","DBT's DEAR MAN skills: Describe, Express, Assert, Reinforce, Mindful, Appear confident, Negotiate. The most practical script for assertive communication in relationships.","anger,relationships,low_self_esteem,anxiety,stress",intermediate,10 mins,https://dialecticalbehaviortherapy.com/interpersonal-effectiveness/dear-man/
74,Understanding Panic Disorder,article,"panic,disorder,agoraphobia,avoidance,treatment","What happens in the brain and body during a panic attack, how panic disorder develops, and why the treatment (exposure, not avoidance) feels counterintuitive but works.","panic,anxiety,agoraphobia,avoidance,overwhelmed",beginner,9 mins,https://www.verywellmind.com/panic-disorder-overview-1393203
75,Self-Harm: Understanding Urges,article,"self-harm,urges,coping,safety,DBT","A compassionate, non-judgmental guide to understanding self-harm urges — why they occur, what function they serve, and distress tolerance alternatives from DBT.","crisis,overwhelmed,sadness,self-harm,anger",intermediate,8 mins,https://www.mind.org.uk/information-support/types-of-mental-health-problems/self-harm/
76,Motivational Interviewing Basics,article,"motivation,change,ambivalence,MI,therapy","How motivational interviewing resolves ambivalence about change — the stage of change model and strategies to move from contemplation to action.","low_motivation,ambivalence,change,addiction,procrastination",intermediate,10 mins,https://motivationalinterviewing.org/understanding-motivational-interviewing
77,The Mind-Gut Connection,article,"gut,microbiome,anxiety,depression,serotonin","90% of serotonin is made in the gut. The bidirectional relationship between gut microbiome and mental health — and what you can eat to support your emotional wellbeing.","anxiety,depression,stress,overwhelmed",beginner,9 mins,https://www.hopkinsmedicine.org/health/wellness-and-prevention/the-brain-gut-connection
78,Dr Gabor Maté: Trauma and the Body,video,"trauma,addiction,ADHD,compassion,healing","World-renowned trauma expert Dr Gabor Maté explains how childhood trauma shapes adult physiology, disease, and addiction — and why compassion, not willpower, heals.","trauma,addiction,low_self_esteem,sadness,anger",intermediate,40 mins,https://www.youtube.com/watch?v=BVg2bfqblGI
79,EMDR Demonstration Session,video,"EMDR,trauma,PTSD,bilateral,therapy","Watch a live EMDR session demonstrating bilateral stimulation, desensitisation, and installation phases. Demystifies the therapy and shows what to expect.","trauma,PTSD,anxiety,insomnia",intermediate,45 mins,https://www.youtube.com/watch?v=hKrfH43srg8
80,Dr Julie Smith: Why Has Nobody Told Me This?,video,"CBT,therapy,skills,emotions,mental-health","Clinical psychologist Dr Julie Smith's most popular videos — practical mental health skills for managing panic, low mood, motivation, and self-esteem. Clear, warm, non-clinical.","anxiety,sadness,low_motivation,panic,low_self_esteem",beginner,varies,https://www.youtube.com/@DrJulie
81,5-Minute Mindfulness Bell Meditation,exercise,"mindfulness,quick,bells,awareness,pause","Set a recurring bell sound every 5 minutes during your day. At each bell, take one conscious breath. This micro-mindfulness practice has been shown to significantly reduce stress.","stress,anxiety,overwhelmed",beginner,ongoing,https://www.mindful.org/mindfulness-bells-mindfulness-bell/
82,Worry Postponement Technique,exercise,"anxiety,worry,postponement,CBT,scheduled","Schedule a specific 15-minute daily worry time. When anxious thoughts arise outside this window, write them down and postpone them. Reduces total worry time by 35% in studies.","anxiety,stress,overthinking,insomnia",beginner,daily,https://www.psychologytools.com/self-help/worry/
83,Morning Sunlight Protocol,exercise,"sleep,circadian,energy,morning,cortisol","Get 10 minutes of direct sunlight within 30-60 minutes of waking. Andrew Huberman's most recommended single intervention for sleep, mood, and energy — backed by photoreceptor research.","insomnia,low_motivation,sadness,low_energy,depression",beginner,10 mins,https://hubermanlab.com/using-light-for-health/
84,Cold Plunge for Mood Elevation,exercise,"cold,dopamine,mood,energy,resilience","Deliberate cold exposure (3-8 minutes at 10-15°C) produces a 2.5× increase in dopamine and norepinephrine lasting 3+ hours. Protocol from Dr Susanna Søberg's research.","low_motivation,sadness,low_energy,stress,depression",advanced,10 mins,https://www.youtube.com/watch?v=pq6WHJzOkno
85,Radical Acceptance Practice (DBT),exercise,"DBT,acceptance,radical,distress-tolerance,pain","Radically accepting reality as it is — not as you wish it were — is the pivotal DBT distress tolerance skill. Includes a step-by-step practice and the distinction between acceptance and approval.","overwhelmed,anger,sadness,crisis,grief",intermediate,15 mins,https://dialecticalbehaviortherapy.com/distress-tolerance/radical-acceptance/
